mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.967180808,0.053358186,1.630804141,0.044122475,5798660.081,0.084112244,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.08411224412110073})",0.983508246,0.975243811,0.980495124,0.97974906,0.003414936,69
2.658817132,0.052937088,1.541341623,0.066660346,5798660.081,0.098657335,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.09865733517033672})",0.983508246,0.975993998,0.980495124,0.979999123,0.003087663,61
1.912204583,0.06338448,1.31502978,0.020247821,5798660.081,0.114483094,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.11448309433645852})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.652169148,0.047018386,1.323783159,0.03876026,5798660.081,0.130441005,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.1304410053132989})",0.983508246,0.976744186,0.979744936,0.979999123,0.002767259,61
1.710379521,0.039295243,1.242943128,0.105470947,5798660.081,0.149097521,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.14909752139998828})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.977906624,0.032847124,1.986493985,0.011450583,5798660.081,0.171431482,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.17143148157734212})",0.983508246,0.976744186,0.981245311,0.980499248,0.002811356,8
2.956459999,0.292091975,2.704564174,0.177104928,5798660.081,0.197637951,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.19763795080727156})",0.983508246,0.976744186,0.979744936,0.979999123,0.002767259,61
1.716333389,0.049665994,1.367403269,0.066226911,5798660.081,0.224305494,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.22430549417140833})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.918239276,0.048708039,1.299893936,0.057235146,5798660.081,0.246003859,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.24600385865476576})",0.983508246,0.976744186,0.981245311,0.980499248,0.002811356,8
2.016253312,0.028673063,1.953398307,0.028064177,5798660.081,0.271079844,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.2710798441312746})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.885440429,0.01681367,1.287576358,0.060296752,5798660.081,0.303993218,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.3039932179841151})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
2.106646935,0.068146506,2.054840803,0.015592386,5798660.081,0.3521092,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.35210919997816353})",0.983508246,0.976744186,0.981245311,0.980499248,0.002811356,8
1.722509146,0.082180443,1.267259518,0.11125843,5798660.081,0.398443136,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.39844313623121314})",0.983508246,0.976744186,0.981245311,0.980499248,0.002811356,8
1.812384049,0.056707292,1.69379433,0.031665826,5798660.081,0.452544097,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.45254409714638316})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.99456954,0.018499137,1.507129272,0.030544415,5798660.081,0.524016704,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.5240167044199378})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.662085295,0.047009757,1.282651186,0.042924809,5798660.081,0.597726032,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.597726031760241})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.70691212,0.010667381,1.241127491,0.086629554,5798660.081,0.68019386,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.6801938599147522})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.861870527,0.042621789,1.286391815,0.043637373,5798660.081,0.765749405,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.7657494047937352})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.910799742,0.012558102,1.263106982,0.052128003,5798660.081,0.861125989,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.8611259892545451})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.677122434,0.031499744,1.326314608,0.071100696,5798660.081,0.949658978,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.9496589778950325})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.829023202,0.020595532,1.570819219,0.093193399,5798660.081,1.04660091,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.046600909562043})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
2.087558349,0.02292046,1.639154116,0.022594642,5798660.081,1.158357316,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.158357315702568})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.743072033,0.032074003,1.382194281,0.038145686,5798660.081,1.28215179,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.282151790338961})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.82129097,0.031892018,2.079151948,0.021622516,5798660.081,1.408602907,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.4086029072601165})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.789732138,0.06101717,1.608544509,0.085928853,5798660.081,1.547255343,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.547255343254485})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.774475892,0.017438614,1.370374203,0.026744171,5798660.081,1.7035898,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.703589799829917})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.804939826,0.012833284,1.338681698,0.029287474,5798660.081,1.875894133,"OrderedDict({'C': 5798660.081373344, 'gamma': 1.8758941325549086})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
2.168150743,0.032557476,1.658836047,0.040139932,5798660.081,2.196808996,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.1968089957305224})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
2.050410906,0.022210454,1.311578353,0.06402353,5798660.081,2.59641585,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.596415849548036})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.986517191,0.063685574,1.282445272,0.066920832,5798660.081,2.853950726,"OrderedDict({'C': 5798660.081373344, 'gamma': 2.8539507255380236})",0.984257871,0.976744186,0.980495124,0.98049906,0.00306745,15
1.857835849,0.030072775,1.47738719,0.04486447,5798660.081,3.054493678,"OrderedDict({'C': 5798660.081373344, 'gamma': 3.0544936781020944})",0.984257871,0.976744186,0.980495124,0.98049906,0.00306745,15
2.159989993,0.036585707,1.341211478,0.04935132,5798660.081,3.292651185,"OrderedDict({'C': 5798660.081373344, 'gamma': 3.2926511848679336})",0.984257871,0.976744186,0.980495124,0.98049906,0.00306745,15
1.760375897,0.014334874,1.303047578,0.030051489,5798660.081,3.547176161,"OrderedDict({'C': 5798660.081373344, 'gamma': 3.5471761606904})",0.984257871,0.976744186,0.980495124,0.98049906,0.00306745,15
1.903337797,0.03744157,1.375723282,0.014163354,5798660.081,4.121777164,"OrderedDict({'C': 5798660.081373344, 'gamma': 4.12177716429757})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
1.719231685,0.013694819,1.315211058,0.082282043,5798660.081,4.852404031,"OrderedDict({'C': 5798660.081373344, 'gamma': 4.852404030975938})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
2.077204863,0.078788402,1.671200673,0.065190222,5798660.081,5.32699251,"OrderedDict({'C': 5798660.081373344, 'gamma': 5.326992509767427})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
2.144465367,0.037226313,1.377813896,0.076287909,5798660.081,5.83412793,"OrderedDict({'C': 5798660.081373344, 'gamma': 5.834127930373407})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
2.196547747,0.022286224,1.554189682,0.069836902,5798660.081,6.445807411,"OrderedDict({'C': 5798660.081373344, 'gamma': 6.445807411473435})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
1.620144129,0.496217765,1.152077198,0.102010256,5798660.081,7.117469405,"OrderedDict({'C': 5798660.081373344, 'gamma': 7.117469405170288})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
1.917687734,0.036002736,2.124199867,0.024913271,5798660.081,7.856418117,"OrderedDict({'C': 5798660.081373344, 'gamma': 7.856418117401254})",0.983508246,0.975993998,0.981245311,0.980249185,0.003147505,22
1.784866492,0.041758074,1.429511388,0.005750437,5798660.081,8.680972436,"OrderedDict({'C': 5798660.081373344, 'gamma': 8.6809724361539})",0.983508246,0.975993998,0.981245311,0.980249185,0.003147505,22
1.757864237,0.020802518,1.37140274,0.053151358,5798660.081,9.920515972,"OrderedDict({'C': 5798660.081373344, 'gamma': 9.920515972160532})",0.983508246,0.975993998,0.981245311,0.980249185,0.003147505,22
1.767157237,0.023073024,1.915142616,0.033791423,5798660.081,9.999750846,"OrderedDict({'C': 5798660.081373344, 'gamma': 9.999750845545849})",0.983508246,0.975993998,0.981245311,0.980249185,0.003147505,22
