mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.490280247,0.049217585,12.52141199,1.11229209,kd_tree,11,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance'})",0.93875,0.9525,0.94875,0.93625,0.95,0.94525,0.006490377,62
0.52479744,0.056446502,12.97250376,0.473324227,kd_tree,41,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 41, 'weights': 'distance'})",0.93375,0.94875,0.9325,0.92875,0.93875,0.9365,0.006910137,209
0.146974802,0.047513552,0.266533709,0.011029404,auto,18,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 18, 'weights': 'distance'})",0.94875,0.95375,0.94625,0.94375,0.95,0.9485,0.003391165,5
0.442568922,0.056557296,12.54589858,1.420866923,ball_tree,18,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 18, 'weights': 'distance'})",0.94875,0.95375,0.94625,0.94375,0.95,0.9485,0.003391165,5
0.452234697,0.059843518,13.07961688,0.702830253,ball_tree,22,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 22, 'weights': 'distance'})",0.94125,0.9525,0.93875,0.93875,0.94875,0.944,0.005612486,76
0.541538048,0.02739382,14.26706276,0.363520476,kd_tree,37,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 37, 'weights': 'distance'})",0.9375,0.95,0.93125,0.93125,0.94,0.938,0.006919176,186
0.087988997,0.021463881,0.349947834,0.02498954,auto,6,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'uniform'})",0.94,0.9425,0.93625,0.925,0.94,0.93675,0.006204837,205
0.121570158,0.03877723,0.294538116,0.030628514,auto,14,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 14, 'weights': 'distance'})",0.94625,0.955,0.94875,0.9425,0.95125,0.94875,0.004257347,1
0.586496162,0.048308439,7.975307178,1.848843053,kd_tree,5,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'})",0.93,0.9325,0.925,0.91375,0.9275,0.92575,0.0065,279
0.602869797,0.059964915,7.003325987,2.308646142,kd_tree,5,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'})",0.9425,0.94375,0.93375,0.92,0.935,0.935,0.008477912,235
0.097836447,0.034206283,0.249911547,0.064124238,auto,47,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 47, 'weights': 'uniform'})",0.93125,0.94625,0.9275,0.9275,0.93875,0.93425,0.00727152,259
0.561103344,0.068196926,8.868028545,0.028086031,kd_tree,33,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 33, 'weights': 'distance'})",0.93875,0.9475,0.93375,0.93,0.94125,0.93825,0.006051859,181
0.113091755,0.047351969,0.344153643,0.027047206,brute,34,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 34, 'weights': 'uniform'})",0.9375,0.9475,0.93375,0.92875,0.9375,0.937,0.006154267,198
0.139417553,0.048121627,0.286714983,0.031776139,brute,48,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 48, 'weights': 'distance'})",0.93125,0.94875,0.92875,0.9275,0.93875,0.935,0.007905694,235
0.104911852,0.024916918,0.266068363,0.0360292,auto,16,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 16, 'weights': 'distance'})",0.945,0.95625,0.94875,0.93875,0.95,0.94775,0.00577711,9
0.394286013,0.031498712,7.420040083,2.075999379,ball_tree,24,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'distance'})",0.9425,0.9525,0.94125,0.935,0.9475,0.94375,0.00591608,84
0.107167578,0.0232304,0.419707537,0.08420264,brute,14,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance'})",0.94625,0.955,0.94875,0.9425,0.95125,0.94875,0.004257347,1
