mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0956557750701905,0.16099901080025397,0.0009881973266601563,0.0010299786968938824,entropy,100,98,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 98, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
2.12557315826416,0.18537272705317376,0.002246713638305664,0.0016320378623775977,entropy,100,8,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 8, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
2.1024848937988283,0.20696419759188453,0.0016177177429199218,0.0014413683994506515,entropy,81,95,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 81, 'min_samples_split': 95, 'splitter': 'best'})",0.91625,0.91875,0.89375,0.90375,0.9025,0.907,0.00927361849549568,225
2.073463249206543,0.2170255065592717,0.0016863822937011718,0.0008599085090067872,entropy,100,88,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 88, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
2.230625295639038,0.21419058804399158,0.0007073402404785157,0.0008819906943733662,entropy,73,5,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 73, 'min_samples_split': 5, 'splitter': 'best'})",0.91625,0.91875,0.89375,0.90375,0.9025,0.907,0.00927361849549568,225
2.4498112201690674,0.1699515044024463,0.004026460647583008,0.0030473438931349255,entropy,2,92,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 92, 'splitter': 'best'})",0.9325,0.91625,0.91625,0.905,0.91875,0.9177500000000001,0.008782084035125136,132
0.24686875343322753,0.027966588862715653,0.002869272232055664,0.0025532196304732433,log_loss,77,50,random,"OrderedDict({'criterion': 'log_loss', 'min_samples_leaf': 77, 'min_samples_split': 50, 'splitter': 'random'})",0.9125,0.89125,0.8775,0.89,0.9025,0.8947499999999999,0.011895377253370323,278
0.5355386734008789,0.05163678500924009,0.0017666816711425781,0.001924837352874021,gini,2,3,random,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 3, 'splitter': 'random'})",0.90125,0.91125,0.89625,0.90625,0.92,0.907,0.00820060973342838,225
0.4948627471923828,0.09152924987738607,0.004960441589355468,0.006680452615244898,gini,2,98,random,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 98, 'splitter': 'random'})",0.91,0.89375,0.89125,0.90875,0.89875,0.9004999999999999,0.007648529270389166,268
0.4795186519622803,0.03221295222388705,0.004955005645751953,0.0033396799964117265,log_loss,2,6,random,"OrderedDict({'criterion': 'log_loss', 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'})",0.91625,0.905,0.90625,0.92875,0.895,0.9102499999999999,0.011440061188647533,214
2.0410943984985352,0.10172699543341816,0.004456710815429687,0.003297832631900393,gini,2,18,best,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 18, 'splitter': 'best'})",0.93125,0.92625,0.91125,0.92875,0.92125,0.9237499999999998,0.007071067811865474,74
2.268983745574951,0.07644558307399067,0.001308584213256836,0.0015361003918587192,log_loss,3,2,best,"OrderedDict({'criterion': 'log_loss', 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'best'})",0.92375,0.92125,0.9175,0.92,0.915,0.9195,0.0030207614933986265,116
0.3765632152557373,0.09685716962835593,0.0063382148742675785,0.00322305998832305,gini,2,100,random,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 100, 'splitter': 'random'})",0.92875,0.91375,0.91375,0.91375,0.91625,0.9172499999999999,0.005830951894845303,138
2.369990682601929,0.08148698213850437,0.002174520492553711,0.0010410164160752288,entropy,2,9,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'best'})",0.91375,0.91625,0.915,0.91375,0.9125,0.91425,0.001274754878398217,173
2.051195478439331,0.1035920775449507,0.0022719383239746095,0.0018817258599982116,gini,2,5,best,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'})",0.93375,0.9175,0.90875,0.91625,0.91375,0.9179999999999999,0.008426149773176362,128
2.0575851440429687,0.11650965333527964,0.0015584468841552735,0.0014084608634514094,gini,2,2,best,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'})",0.9375,0.9275,0.90375,0.91625,0.92875,0.92275,0.011656543226874743,84
0.41486620903015137,0.07805786559792102,0.003726673126220703,0.003658589902730752,gini,2,4,random,"OrderedDict({'criterion': 'gini', 'min_samples_leaf': 2, 'min_samples_split': 4, 'splitter': 'random'})",0.9225,0.93375,0.91375,0.91625,0.90375,0.9179999999999999,0.009924716620639581,128
