mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.35158501,1.171857302,0.261414576,0.084350298,462704.9018,linear,"OrderedDict({'C': 462704.9017953241, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.36269798,3.088158905,0.501283073,0.441672733,464451.0951,linear,"OrderedDict({'C': 464451.0951272972, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.76881657,0.402427807,0.197849607,0.040619695,466256.8117,linear,"OrderedDict({'C': 466256.8116680067, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.95544982,0.607543357,0.2050529,0.076127155,604.8637217,linear,"OrderedDict({'C': 604.8637217190968, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.30237031,0.840499657,0.216522598,0.086743151,470081.5191,linear,"OrderedDict({'C': 470081.51907308627, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.44959173,1.19629746,0.27059865,0.149384373,1392.760204,linear,"OrderedDict({'C': 1392.7602044092978, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.5000155,1.242939981,0.2904984,0.13298474,474304.0059,linear,"OrderedDict({'C': 474304.00585422997, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.53001957,1.646801151,0.330961561,0.244755674,476414.2772,linear,"OrderedDict({'C': 476414.2771728936, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.14436879,2.249162432,0.353643799,0.221363135,478629.0952,linear,"OrderedDict({'C': 478629.09518861596, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.82561288,2.857465373,0.34684968,0.183928486,1365.964828,linear,"OrderedDict({'C': 1365.964827971793, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.85569229,0.995279539,0.651434326,0.36005065,483463.7045,linear,"OrderedDict({'C': 483463.7045283911, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.5261622,0.916022565,0.326222754,0.153672166,1354.013221,linear,"OrderedDict({'C': 1354.0132207806369, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.82691011,0.8869646,0.328730965,0.272046503,586.0545425,linear,"OrderedDict({'C': 586.0545424830376, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.54362283,1.0257144,0.62947402,0.435765537,491662.8143,linear,"OrderedDict({'C': 491662.81425371865, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.64416876,0.691340629,0.346590281,0.106163567,494392.8857,linear,"OrderedDict({'C': 494392.88569465076, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.14578648,0.226712996,0.264482307,0.079472476,497272.5468,linear,"OrderedDict({'C': 497272.54680365784, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
